sellerId,yearsOfStay
R059247E,6
R040561F,16
R024067F,11
R022557Z,10
R059483D,6
R019566B,19
R016906H,5
R016915G,18
R009526I,10
R024561I,6
R000821H,13
R049287Z,13
R019746J,10
R019737A,8
R019087C,17
R020858F,13
R045893J,9
R045495A,8
R057420E,17
R006821J,16
R018812G,6
R008450Z,18
R057564C,10
R020794F,15
R003756J,9
R059294G,19
R055733E,18
R048178I,7
R005010I,18
R048185A,12
R048048J,14
R017063E,13
R058692J,18
R010508F,17
R060061C,10
R019870Z,6
R029292G,11
R057638J,12
R027404Z,5
R049136I,18
R054081E,5
R020814D,19
R028756G,18
R053979E,6
R021097A,13
R046466C,16
R004455I,5
R052547F,10
R000461A,11
R014382D,15
R040258G,8
R009418A,8
R022284H,17
R023350E,19
R060005B,8
R020675C,14
P004328E,11
R041715J,9
R021961H,20
R018258G,15
R041899H,10
R030211F,19
R017797D,18
R059607A,15
R043876Z,11
R023546Z,11
R046778F,9
R058710B,8
R020179D,19
R006008B,10
R059673Z,12
R020635D,7
R031806C,19
R020682F,17
R021354G,8
R008932C,20
R030304Z,12
R047532J,10
R059145B,5
R040705H,16
R025650E,16
R041090C,18
R020142E,15
R060097D,12
R012017D,17
R007254D,11
R048172Z,8
R044260J,5
R008147J,18
R046157E,5
R046241E,5
R042906Z,7
R020338Z,13
R040737F,20
R042913B,16
R042710E,19
R059593H,11
R048758B,9
R060084B,6
R059570I,20
R055715G,5
R007773B,20
R051146G,9
R021370I,20
R022444A,10
R006070H,9
R005229B,18
R002368C,15
R059782E,12
R055638Z,11
R060091E,17
R059952F,5
R019772Z,17
R059771Z,6
R040578J,5
R000642H,16
R020336C,17
R028475D,15
R053612E,7
R046367E,16
R047325E,8
R058999G,14
R053833J,10
R058584C,12
R017211E,13
R029962Z,18
R008588C,20
R031022D,16
R056557E,17
R016268C,17
R006113E,18
R051538A,14
R059778G,9
R010857C,18
R020058E,18
R019792D,18
R049933E,6
R031622B,17
R028397I,16
R006029E,5
R057113C,15
R020215D,7
R000156F,14
R056785C,20
R031415G,11
R021668F,16
R003441C,8
R042911F,5
R021454C,5
R057087J,11
R002813H,19
R047211I,7
R029617E,15
R058407C,17
R019795I,19
R044169H,18
R028171B,5
R042786E,9
R050556D,9
R007442C,19
R007763E,18
R019865C,12
R059368D,6
R055346A,17
R022102G,14
R022409C,18
R059338B,6
R005222E,10
R048124Z,13
R057595C,19
R042790C,7
R056051D,12
R052120I,9
R059219Z,17
R051514D,7
R028220D,13
R059311J,17
R020769E,7
R045898A,15
R016973D,13
R042686I,17
R026430C,8
R050527J,12
R005163F,6
R028888A,19
R056027A,16
R000224D,20
R031788A,5
R043260E,17
R043776C,10
R009053D,10
R010924C,12
R059895C,16
R059636E,13
R045001H,17
R012393I,5
R017111I,13
R059722A,5
R051933F,14
R059680B,13
R022389E,9
R020571D,13
R048039A,5
R019768A,14
R006082A,20
R019082B,13
R031391F,15
R057764F,16
R027781B,15
R059623C,9
R059002B,7
R047611D,8
R045120J,17
R045545A,9
R000024A,16
R005406F,20
R059213J,8
R022057H,13
R059346C,15
R014045J,7
R041348A,14
R020844F,8
R053854C,15
R053441F,12
R059448F,12
R020448C,15
R001872H,12
R001529Z,16
R059614D,8
R046396I,11
R059232G,16
P028938A,6
R019910B,10
R044612F,20
R059227J,8
R042293F,17
R050340E,18
R041357J,5
R048436B,8
R017761C,13
P028781H,16
R019679J,20
R005111C,5
R012432C,19
R020716D,15
